system,task,model,precision,input_tokens,output_tokens,batch,concurrency,metric,runs,mean,std,ci95_low,ci95_high,data_source
default,continuation,gpt-j-6b,fp16,128,1,1,1,latency_ms,5,15.471044,0.26295354502744395,15.14454404993937,15.797543950060629,actual_test_variant_0829
default,continuation,llama3-8b,fp16,128,1,1,1,latency_ms,5,21.139514000000002,0.883052112840743,20.04305998294788,22.235968017052123,actual_test_variant_0829
default,continuation,llama4-17b,fp16,128,1,1,1,latency_ms,5,32.035453,0.9652614860013311,30.836922563979474,33.233983436020516,actual_test_variant_0829
default,continuation,mixtral-8x7b,fp16,128,1,1,1,latency_ms,5,46.026985,0.7610289244256745,45.08204278294891,46.971927217051096,actual_test_variant_0829
default,continuation,vit-h14,fp16,0,1,1,1,latency_ms,5,5.876408,0.11251001803172903,5.736708361172745,6.016107638827254,actual_test_variant_0829
default,generation,gpt-j-6b,fp16,128,64,1,1,latency_ms,5,2907.922235,94.47506912083907,2790.6159429448417,3025.2285270551583,actual_test_variant_0829
default,generation,llama3-8b,fp16,128,64,1,1,latency_ms,5,3288.183377,115.49718565603966,3144.774679677039,3431.592074322961,actual_test_variant_0829
default,generation,llama4-17b,fp16,128,64,1,1,latency_ms,5,5577.664954,114.80263838778632,5435.11865101508,5720.21125698492,actual_test_variant_0829
default,generation,mixtral-8x7b,fp16,128,64,1,1,latency_ms,5,8695.743934,290.71974475227887,8334.767693374108,9056.720174625892,actual_test_variant_0829
default,generation,vit-h14,fp16,0,0,1,1,latency_ms,5,975.550887,30.05951197199118,938.2270731808035,1012.8747008191965,actual_test_variant_0829
default,scoring,gpt-j-6b,fp16,128,64,1,1,latency_ms,5,155.777611,1.738751661837452,153.61866565967946,157.93655634032055,actual_test_variant_0829
default,scoring,llama3-8b,fp16,128,64,1,1,latency_ms,5,201.560708,6.950565185194125,192.93044144237598,210.19097455762403,actual_test_variant_0829
default,scoring,llama4-17b,fp16,128,64,1,1,latency_ms,5,313.059211,6.631625542666176,304.8249603141029,321.2934616858971,actual_test_variant_0829
