system,task,model,precision,input_tokens,output_tokens,batch,concurrency,requests,runs,data_source,p50_ms,p95_ms,p99_ms,p99_9_ms,max_ms,alpha,beta,predicted_ms,read_bw_gbps,write_bw_gbps,queue_ms,throughput_tps,prefetch_hits,prefetch_misses,bytes_read,bytes_written,node_energy_j,gpu_energy_j,tokens,mae_ms,rmse_ms,prefetch_hit_rate,energy_per_request_j,edp_j_ms,energy_per_token_j
default,continuation,gpt-j-6b,fp16,128,1,1,1,100,5,actual_test_variant_0829,15.361249999999998,17.664830000000002,19.267008000000004,19.695400800000005,19.743,0.6027,0.6479,15.482631000000003,4.999,2.492,4.628,65.04609092,7800,2200,68132742700,6664346800,851.9739,521.6533,100,0.13681100000000002,0.1601763793447711,0.78,8.519739,130.87384071374998,8.519739
default,continuation,llama3-8b,fp16,128,1,1,1,100,5,actual_test_variant_0829,21.09095,24.170505000000002,25.772108,26.057940800000004,26.0897,0.6421,0.6912,21.132368999999997,4.631,2.544,4.665,47.64391887,8000,2000,90131605300,9699323600,1170.4675,713.6934,100,0.17934299999999986,0.2069468605705337,0.8,11.704675,246.86271519125,11.704675
default,continuation,llama4-17b,fp16,128,1,1,1,100,5,actual_test_variant_0829,31.956,36.07667,37.130547000000014,38.56924470000002,38.7291,0.7356,0.7451,32.045379,4.967,2.662,4.333,31.38648713,7800,2200,206169170200,19777829100,1820.7373,1259.623,100,0.2969899999999993,0.3474893866005114,0.78,18.207373,581.834811588,18.207373
default,continuation,mixtral-8x7b,fp16,128,1,1,1,100,5,actual_test_variant_0829,46.1934,50.505539999999996,52.539822000000015,55.09895220000003,55.3833,1.1264,1.0869,45.97844599999999,4.554,2.461,4.761,21.798868510000002,7200,2800,526425604000,50809559400,2635.4577,1866.8986,100,0.41711700000000035,0.47305561565211374,0.72,26.354577,1217.4075171917998,26.354577
default,continuation,vit-h14,fp16,0,1,1,1,100,5,actual_test_variant_0829,5.83445,6.763685,7.168598000000003,7.676289800000006,7.7327,0.5743,0.6117,5.878518999999999,5.105,2.365,4.802,171.62825012,7300,2700,28773944000,2799422800,314.7389,192.7361,100,0.05070499999999998,0.05935991324117647,0.73,3.147389,18.36328375105,3.147389
default,generation,gpt-j-6b,fp16,128,64,1,1,100,5,actual_test_variant_0829,2878.8945999999996,3295.0967549999996,3371.141866,3396.8709166000003,3399.7297,0.6273,0.6276,2904.836807999999,4.386,2.414,4.906,22.12846024,7300,2700,44969590300,10183791800,153478.7959,96177.6486,6400,25.676708999999974,29.90496938663036,0.73,1534.787959,4418492.767310121,23.981061859375
default,generation,llama3-8b,fp16,128,64,1,1,100,5,actual_test_variant_0829,3248.1278,3707.103155,3860.8499140000004,3920.191761400001,3926.7853,0.6741,0.6816,3290.8183329999993,5.119,2.459,4.84,19.58350324,7400,2600,60222518700,13211508800,181545.409,117031.6409,6400,28.874717999999987,32.86913338796748,0.74,1815.4540900000002,5896826.899352703,28.366470156250003
default,generation,llama4-17b,fp16,128,64,1,1,100,5,actual_test_variant_0829,5525.65695,6520.017115,6885.865038000003,7347.522253800005,7398.8175,0.7807,0.7413,5580.321762,4.745,2.626,5.362,11.56407583,7800,2200,128594489300,29029124000,311895.0851,218973.9803,6400,45.112809999999925,52.81705855698694,0.78,3118.950851,17234252.446536563,48.733607046875
default,generation,mixtral-8x7b,fp16,128,64,1,1,100,5,actual_test_variant_0829,8701.5454,9919.34591,10287.938552000003,10908.293025200006,10977.2213,1.0718,1.1006,8692.579593,4.73,2.4,5.145,7.40827603,7400,2600,345387951900,73738159600,506394.2787,347032.3543,6400,80.687609,92.33481607907986,0.74,5063.942787,44064128.06408303,79.124106046875
default,generation,vit-h14,fp16,0,0,1,1,100,5,actual_test_variant_0829,979.8534999999999,1087.222225,1146.1272820000004,1208.6560582000006,1215.6037,0.5817,0.5902,976.2454530000001,4.717,2.312,4.311,1.03144031,7300,2700,19128587200,4323672100,50328.1987,33398.6083,100,8.351399999999988,9.75974526221867,0.73,503.281987,493142.6164489045,503.281987
default,scoring,gpt-j-6b,fp16,128,64,1,1,100,5,actual_test_variant_0829,155.36885,176.85273,178.325849,179.8894649,180.0632,0.6171,0.6289,155.37661699999998,4.601,2.647,4.498,413.04201246,7900,2100,71439924800,6702604200,8322.0391,5285.5152,6400,1.2768820000000012,1.4817493393958372,0.79,83.220391,12929.856446220352,1.300318609375
default,scoring,llama3-8b,fp16,128,64,1,1,100,5,actual_test_variant_0829,201.40345,235.49952,253.1639510000001,269.2599551000002,271.0484,0.6439,0.6954,201.55552099999997,4.985,2.604,4.743,319.91525662,8000,2000,98660762100,9226289900,10709.7345,7289.9528,6400,1.7341069999999983,2.0006516592600505,0.8,107.097345,21569.77476884025,1.673396015625
