system,task,model,precision,input_tokens,output_tokens,batch,concurrency,metric,runs,mean,std,ci95_low,ci95_high,data_source
default,continuation,gpt-j-6b,fp16,128,1,1,1,latency_ms,5,16.62735,0.2646296714986812,16.298821540457492,16.955878459542507,synthetic_expected_projection_not_measured
default,continuation,llama3-8b,fp16,128,1,1,1,latency_ms,5,20.772947,0.8332870200942168,19.73845037867277,21.807443621327227,synthetic_expected_projection_not_measured
default,continuation,llama4-17b,fp16,128,1,1,1,latency_ms,5,34.640003,0.9954811282277034,33.404148079770785,35.875857920229215,synthetic_expected_projection_not_measured
default,continuation,mixtral-8x7b,fp16,128,1,1,1,latency_ms,5,51.344093,0.824071528726421,50.321037088120974,52.36714891187903,synthetic_expected_projection_not_measured
default,continuation,vit-h14,fp16,0,1,1,1,latency_ms,5,6.468207000000001,0.12856630028899468,6.308596445583266,6.627817554416737,synthetic_expected_projection_not_measured
default,generation,gpt-j-6b,fp16,128,64,1,1,latency_ms,5,2568.841794,81.80338030005446,2467.285765293367,2670.3978227066327,synthetic_expected_projection_not_measured
default,generation,llama3-8b,fp16,128,64,1,1,latency_ms,5,3178.957186,110.00264472010596,3042.3927591508423,3315.521612849158,synthetic_expected_projection_not_measured
default,generation,llama4-17b,fp16,128,64,1,1,latency_ms,5,5413.488155,108.30517515273192,5279.031077107335,5547.945232892665,synthetic_expected_projection_not_measured
default,generation,mixtral-8x7b,fp16,128,64,1,1,latency_ms,5,7706.90703,223.3661042732311,7429.605842512936,7984.208217487065,synthetic_expected_projection_not_measured
default,generation,vit-h14,fp16,0,0,1,1,latency_ms,5,981.841452,29.02230819295232,945.8112738684216,1017.8716301315784,synthetic_expected_projection_not_measured
default,scoring,gpt-j-6b,fp16,128,64,1,1,latency_ms,5,150.895855,1.502226752187404,149.030893153565,152.76081684643503,synthetic_expected_projection_not_measured
default,scoring,llama3-8b,fp16,128,64,1,1,latency_ms,5,185.725073,6.82114965202403,177.25685484896195,194.19329115103807,synthetic_expected_projection_not_measured
default,scoring,llama4-17b,fp16,128,64,1,1,latency_ms,5,308.400502,5.663146163701319,301.36990458139525,315.4310994186048,synthetic_expected_projection_not_measured
default,scoring,mixtral-8x7b,fp16,128,64,1,1,latency_ms,5,455.01140599999997,11.72929625877305,440.4498959108654,469.57291608913454,synthetic_expected_projection_not_measured
default,scoring,vit-h14,fp16,0,0,1,1,latency_ms,5,103.818142,2.0857230312190347,101.2287899798803,106.40749402011969,synthetic_expected_projection_not_measured
default,ttft,gpt-j-6b,fp16,128,1,1,1,latency_ms,5,396.665384,4.3572387035389,391.2560249095181,402.07474309048195,synthetic_expected_projection_not_measured
