system,task,model,precision,input_tokens,output_tokens,batch,concurrency,requests,runs,data_source,p50_ms,p95_ms,p99_ms,p99_9_ms,max_ms,alpha,beta,predicted_ms,read_bw_gbps,write_bw_gbps,queue_ms,throughput_tps,prefetch_hits,prefetch_misses,bytes_read,bytes_written,node_energy_j,gpu_energy_j,tokens,mae_ms,rmse_ms,prefetch_hit_rate,energy_per_request_j,edp_j_ms,energy_per_token_j
default,continuation,gpt-j-6b,fp16,128,1,1,1,100,5,synthetic_expected_projection_not_measured,16.42285,18.827889999999996,20.106538,20.867273800000007,20.9518,0.625,0.6467,16.621406999999998,4.7,2.5,5.0,60.48609815,7600.0,2400.0,70866960400.0,7086696000.0,891.8911,569.7402,100.0,0.374981,0.4513452194274355,0.76,8.918911000000001,146.47393751635002,8.918911000000001
default,continuation,llama3-8b,fp16,128,1,1,1,100,5,synthetic_expected_projection_not_measured,20.8127,23.64621,25.785009000000002,26.0531109,26.0829,0.65,0.6689,20.810456,4.7,2.5,5.0,48.466968290000004,7600.0,2400.0,94489280500.0,9448928100.0,1127.9713,728.6691,100.0,0.4437029999999998,0.556174121566259,0.76,11.279713,234.76128275509998,11.279713
default,continuation,llama4-17b,fp16,128,1,1,1,100,5,synthetic_expected_projection_not_measured,34.4246,38.745594999999994,39.592786000000004,40.625098600000015,40.7398,0.7625,0.7689,34.572749,4.7,2.5,5.0,29.01896513,7600.0,2400.0,200789721100.0,20078972100.0,1957.1596,1311.2972,100.0,0.7245020000000002,0.8990874532546878,0.76,19.571596,673.7443636615999,19.571596
default,continuation,mixtral-8x7b,fp16,128,1,1,1,100,5,synthetic_expected_projection_not_measured,51.2441,56.046744999999994,57.91668100000001,60.16921810000003,60.4195,1.1125,1.08,51.404439,4.7,2.5,5.0,19.54398494,7600.0,2400.0,531502202900.0,53150220300.0,3036.4896,2121.8987,100.0,0.9880760000000004,1.2449261231093196,0.76,30.364895999999998,1556.0217671136,30.364895999999998
default,continuation,vit-h14,fp16,0,1,1,1,100,5,synthetic_expected_projection_not_measured,6.4190000000000005,7.41989,7.793121000000003,8.240492100000006,8.2902,0.5813,0.6078,6.471473,4.7,2.5,5.0,155.8050475,7600.0,2400.0,29527900200.0,2952790000.0,341.9737,215.5805,100.0,0.13000200000000003,0.15812485130427795,0.76,3.419737,21.951291803,3.419737
default,generation,gpt-j-6b,fp16,128,64,1,1,100,5,synthetic_expected_projection_not_measured,2543.97035,2916.042655,3042.7446280000004,3058.7227528,3060.4981,0.625,0.6467,2567.10127,4.7,2.5,5.0,25.051012930000002,7600.0,2400.0,45097156600.0,9921374500.0,137792.6736,88021.9602,6400.0,49.32977199999999,60.525595150119734,0.76,1377.9267360000001,3505404.760856278,21.530105250000002
default,generation,llama3-8b,fp16,128,64,1,1,100,5,synthetic_expected_projection_not_measured,3148.694,3592.8575299999998,3782.0227870000003,3840.836538700001,3847.3714,0.65,0.6689,3180.671072,4.7,2.5,5.0,20.25435693,7600.0,2400.0,60129542100.0,13228499300.0,172617.375,111510.8242,6400.0,61.08560200000001,80.86490880714081,0.76,1726.17375,5435192.9295825,26.97146484375
default,generation,llama4-17b,fp16,128,64,1,1,100,5,synthetic_expected_projection_not_measured,5353.5055,6201.743884999999,6775.686037000001,6972.386493700003,6994.2421,0.7625,0.7689,5394.823614000001,4.7,2.5,5.0,11.91359858,7600.0,2400.0,127775277100.0,28110561000.0,305862.0805,204927.5942,6400.0,110.36017699999998,136.31083863757684,0.76,3058.620805,16374343.301981928,47.790950078125
default,generation,mixtral-8x7b,fp16,128,64,1,1,100,5,synthetic_expected_projection_not_measured,7647.0862,8722.868284999999,8881.255722000005,9548.099902200007,9622.1937,1.1125,1.08,7714.977199999999,4.7,2.5,5.0,8.35399957,7600.0,2400.0,338228674600.0,74410308400.0,455786.4824,318503.5934,6400.0,151.85201199999997,192.95336867442558,0.76,4557.864824,34854385.19707583,71.216637875
default,generation,vit-h14,fp16,0,0,1,1,100,5,synthetic_expected_projection_not_measured,979.08555,1106.70168,1166.133379,1213.1763079000007,1218.4033,0.5813,0.6078,981.720439,4.7,2.5,5.0,1.02438819,7600.0,2400.0,18790481900.0,4133906000.0,51909.9582,32724.0375,100.0,18.910239000000004,23.262209281057125,0.76,519.099582,508242.8997472402,519.099582
default,scoring,gpt-j-6b,fp16,128,64,1,1,100,5,synthetic_expected_projection_not_measured,150.4026,170.484305,175.750674,177.9491274,178.1934,0.625,0.6467,151.09996999999998,4.7,2.5,5.0,426.34725834,7600.0,2400.0,70866960400.0,7086696000.0,8094.0541,5170.4815,6400.0,3.005229,3.746212371169045,0.76,80.940541,12173.6678118066,1.264695953125
