param,value,p99_ms,data_source
block_size_mb,1,498,synthetic_expected_projection_not_measured
block_size_mb,2,458,synthetic_expected_projection_not_measured
block_size_mb,4,421,synthetic_expected_projection_not_measured
block_size_mb,8,439,synthetic_expected_projection_not_measured
block_size_mb,16,482,synthetic_expected_projection_not_measured
sampling_ms,100,429,synthetic_expected_projection_not_measured
sampling_ms,200,421,synthetic_expected_projection_not_measured
sampling_ms,400,451,synthetic_expected_projection_not_measured
hysteresis_pct,2,443,synthetic_expected_projection_not_measured
hysteresis_pct,5,421,synthetic_expected_projection_not_measured
hysteresis_pct,10,448,synthetic_expected_projection_not_measured
reuse_window,16,441,synthetic_expected_projection_not_measured
reuse_window,32,421,synthetic_expected_projection_not_measured
reuse_window,64,435,synthetic_expected_projection_not_measured
